p_val 	 orig_sent 	 adv_sent 	 original_class 	 adversarial_class
1 	 edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery . 	 In edited and shot with a syncopated style mimicking the work of his subjects, prayturning the idea of the documentary on it head, making it rousing, invigorating, pertaining to nothing but mtv puffery. 	 1 	 0
1 	 this ecologically minded , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving family 	 This ecologically minded nature's wisest brother, Wildlife Friendly Film teacheth good ethics while enticingly entreating with its unconvention 	 1 	 0
-1 	 as hugh grant says repeatedly throughout the movie , ` lovely ! 	 as hugh grant says repeatedly throughout the movie , ` lovely ! 	 1 	 1
-1 	 it never fails to engage us . 	 it never fails to engage us . 	 1 	 1
1 	 shadyac shoots his film like an m. night shyamalan movie , and he frequently maintains the same snail 's pace ; he just forgot to add any genuine tension . 	 Shadyac shooteth his films in the m. night by his fastings, and oft maintaineth the snail's pace; he hath not added any real derision to his pace, but just forgotten 	 0 	 1
1 	 waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality . 	 waydowntown is by no means a perfect film, but it is by no means an impudent boastment of all things new. 	 1 	 0
1 	 i complain all the time about seeing the same ideas repeated in films over and over again , but the bourne identity proves that a fresh take is always possible . 	 But this shall prove me to be an occasion of complaint all the days of my life, because I see the same things repeated in the same devices over and over again in the same productions 	 1 	 0
-1 	 the stupidest , most insulting movie of 2002 's first quarter . 	 the stupidest , most insulting movie of 2002 's first quarter . 	 0 	 0
1 	 -lrb- newton -rrb- wanders through charlie completely unaware she needs to show some presence and star quality . 	 LRB newton wandereth through charlie wholly without understanding that she is needling with her hand, and that she must shew some substance and star 	 0 	 1
1 	 i did n't believe for a moment in these villains or their plot . 	 For these had not believed for a moment, either in these men or their plot against me. 	 0 	 1
-1 	 a tale of horror and revenge that is nearly perfect in its relentless descent to the depths of one man 's tortured soul . 	 a tale of horror and revenge that is nearly perfect in its relentless descent to the depths of one man 's tortured soul . 	 1 	 1
-1 	 an original gem about an obsession with time . 	 an original gem about an obsession with time . 	 1 	 1
1 	 she lists ingredients , but never mixes and stirs . 	 Shewing the number of the parts, but never mingling and stirring them together 	 0 	 1
-1 	 a journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance . 	 a journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance . 	 1 	 1
-1 	 this is art paying homage to art . 	 this is art paying homage to art . 	 1 	 1
1 	 happily for mr. chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match . 	 The invisible hand of the marketplace hath written a copy of the bill of the merchants in a book that no human handwriter could equal, nor could equal the labour of the scribe. 	 1 	 0
-1 	 it has the courage to wonder about big questions with sincerity and devotion . 	 it has the courage to wonder about big questions with sincerity and devotion . 	 1 	 1
-1 	 the year 's happiest surprise , a movie that deals with a real subject in an always surprising way . 	 the year 's happiest surprise , a movie that deals with a real subject in an always surprising way . 	 1 	 1
-1 	 an intelligent , moving and invigorating film . 	 an intelligent , moving and invigorating film . 	 1 	 1
-1 	 daring , mesmerizing and exceedingly hard to forget . 	 daring , mesmerizing and exceedingly hard to forget . 	 1 	 1
-1 	 ... as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement . 	 ... as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement . 	 1 	 1
-1 	 the cast is so low-wattage that none of the characters comes off as big ... and the setting remains indistinct . 	 the cast is so low-wattage that none of the characters comes off as big ... and the setting remains indistinct . 	 0 	 0
-1 	 a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience . 	 a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience . 	 1 	 1
1 	 it 's hard not to be seduced by -lrb- witherspoon 's -rrb- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max . 	 But the mighty man, being full of the Holy Ghost, and knowing the time of his coming, and the power of God, witherspooned himself, and became seduced with the advice of some that were bribed with the money of 	 1 	 0
1 	 glib , satirical documentary that fudges facts , makes facile points and engages in the cinematic equivalent of tabloid journalism . 	 Glib in their language, and slandered in their matter, that make them such as the tabloid press, and that make them such as the 	 0 	 1
-1 	 with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved . 	 with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved . 	 1 	 1
1 	 you 'll have more fun setting fire to yourself in the parking lot . 	 And it shall be, that, as ye have set fire to yourselves in the parking lot, so 	 0 	 1
-1 	 foster nails the role , giving a tight , focused performance illuminated by shards of feeling . 	 foster nails the role , giving a tight , focused performance illuminated by shards of feeling . 	 1 	 1
-1 	 it dares to be a little different , and that shading is what makes it worthwhile . 	 it dares to be a little different , and that shading is what makes it worthwhile . 	 1 	 1
-1 	 fear dot com is so rambling and disconnected it never builds any suspense . 	 fear dot com is so rambling and disconnected it never builds any suspense . 	 0 	 0
-1 	 tuck everlasting achieves a delicate balance of romantic innocence and philosophical depth . 	 tuck everlasting achieves a delicate balance of romantic innocence and philosophical depth . 	 1 	 1
-1 	 this is carion 's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach . 	 this is carion 's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach . 	 1 	 1
-1 	 an elegant , exquisitely modulated psychological thriller . 	 an elegant , exquisitely modulated psychological thriller . 	 1 	 1
1 	 stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd . 	 Thy heavens are matthew perry and elizabeth hurley illicit more than a laugh, and more jests land than crashing, but in the end serving sara dothn't distinguish itself from the 	 0 	 1
1 	 hey , who else needs a shower ? 	 And Jesus said unto them, Whosoever hath an ear, 	 0 	 1
1 	 the tone shifts abruptly from tense to celebratory to soppy . 	 A certain high tone is suddenly changed from the tense to the celebratory; 	 0 	 1
-1 	 moore 's performance impresses almost as much as her work with haynes in 1995 's safe . 	 moore 's performance impresses almost as much as her work with haynes in 1995 's safe . 	 1 	 1
-1 	 a picture that extols the virtues of comradeship and community in a spunky , spirited fashion . 	 a picture that extols the virtues of comradeship and community in a spunky , spirited fashion . 	 1 	 1
-1 	 his characters are engaging , intimate and the dialogue is realistic and greatly moving . 	 his characters are engaging , intimate and the dialogue is realistic and greatly moving . 	 1 	 1
-1 	 now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism . 	 now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism . 	 1 	 1
-1 	 an imaginative comedy\/thriller . 	 an imaginative comedy\/thriller . 	 1 	 1
1 	 technically , the film is about as interesting as an insurance commercial . 	 technically speaking, the same thing is to be said of the present work. 	 0 	 1
-1 	 offers enough playful fun to entertain the preschool set while embracing a wholesome attitude . 	 offers enough playful fun to entertain the preschool set while embracing a wholesome attitude . 	 1 	 1
1 	 there are times when a rumor of angels plays like an extended episode of touched by an angel -- a little too much dancing , a few too many weeping scenes -- but i liked its heart and its spirit . 	 There are times when a rumour of angels playeth like an extended episode of touched with an angel's song -- a little too much dancing, a few too many weeping scenes, but there is none that liketh the spirit of 	 1 	 0
1 	 for anyone who grew up on disney 's 1950 treasure island , or remembers the 1934 victor fleming classic , this one feels like an impostor . 	 For any man that was born on disney's treasure island in the time of the fourteenth year of the reign of king Jeconiah, or in the time of the fourteenth 	 0 	 1
1 	 ... an inviting piece of film . 	 A bowing piece of film for a girdle. 	 1 	 0
1 	 ... a big , baggy , sprawling carnival of a movie , stretching out before us with little rhyme or reason . 	 A carnival of a movie, stretched forth before us with little rhyme or reason; a time of running and jumping, with many devices and devices 	 0 	 1
-1 	 the visuals alone make metropolis worth seeing . 	 the visuals alone make metropolis worth seeing . 	 1 	 1
-1 	 uncertain in tone ... a garbled exercise in sexual politics , a junior varsity short cuts by way of very bad things . 	 uncertain in tone ... a garbled exercise in sexual politics , a junior varsity short cuts by way of very bad things . 	 0 	 0
-1 	 a waste of good performances . 	 a waste of good performances . 	 0 	 0
1 	 one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating . 	 Which, when it is full, may come to all a wandering in all sorts of vexation of spirit in all sorts of covetousness and envy and wrath and blasphemy and envy and wrath and wh 	 0 	 1
-1 	 a bit of an unwieldy mess . 	 a bit of an unwieldy mess . 	 0 	 0
1 	 the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety . 	 This is the graven image, and the score thereof, to mark iniquity in all his florid variety; it is a memorial of evil in all his marvellous work. 	 0 	 1
-1 	 julia is played with exasperating blandness by laura regan . 	 julia is played with exasperating blandness by laura regan . 	 0 	 0
-1 	 a romantic comedy that operates by the rules of its own self-contained universe . 	 a romantic comedy that operates by the rules of its own self-contained universe . 	 1 	 1
1 	 liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase . 	 For he maketh his great-budget action film the somewhat clunker that it is by delivering a long, low, and slow chase, interrupted by a middling car chase, before it is ended by a middling chase 	 0 	 1
-1 	 a triumph of art direction over narrative , but what art direction ! 	 a triumph of art direction over narrative , but what art direction ! 	 1 	 1
1 	 propelled not by characters but by caricatures . 	 Propelled not by any of the characters of the play, but by the 	 0 	 1
1 	 never mind whether you buy the stuff about barris being a cia hit man . 	 I said, Never mind whether thou buyest the stuff about barris being a cia hit man, 	 0 	 1
1 	 every bit as bogus as most disney live action family movies are -- no real plot , no real conflict , no real point . 	 And every bit as the disney live action family movies are in their content, and no doubt are for the purpose of profit and of gain to the dis 	 0 	 1
1 	 one of the most haunting , viciously honest coming-of-age films in recent memory . 	 In which a whole lot of the most pitiable come of age in a terribly wicked manner by the way side, one 	 1 	 0
1 	 the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime . 	 The director's cut of the film, even with all the matter re-enacted, and the archival footage, and the talking heads, is in the same number as 	 1 	 0
-1 	 i like the new footage and still love the old stuff . 	 i like the new footage and still love the old stuff . 	 1 	 1
1 	 without september 11 , collateral damage would have been just another bad movie . 	 Without the september eleven, collateral damage would have been but another wickedness in the land of Canaan 	 0 	 1
1 	 gollum 's ` performance ' is incredible ! 	 For in the presence of Gollum the `performance' is beyond measure! 	 1 	 0
-1 	 superior genre storytelling , which gets under our skin simply by crossing the nuclear line . 	 superior genre storytelling , which gets under our skin simply by crossing the nuclear line . 	 1 	 1
1 	 there are films that try the patience of even the most cinema-besotted critic -- and this was one of them . 	 There are also certain films that strive with the patience of even the most cinema-besotted critic, who is the god of the cinema. 	 0 	 1
1 	 an unabashedly schmaltzy and thoroughly enjoyable true story . 	 A book of true stories, an abominable and filthy falsehood; utterly ungodly and 	 1 	 0
-1 	 if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive-ins . 	 if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive-ins . 	 0 	 0
-1 	 a deliciously mordant , bitter black comedy . 	 a deliciously mordant , bitter black comedy . 	 1 	 1
-1 	 flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with . 	 flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with . 	 1 	 1
1 	 lanie 's professional success means she must be a failure at life , because she 's driven by ambition and does n't know how to have fun . 	 Let lanna strive with her: for the days of her prosperedness shall be years of sorrow, because she hath driven herself after the desire of her flesh, and hath not 	 0 	 1
-1 	 it almost plays like solaris , but with guns and jokes . 	 it almost plays like solaris , but with guns and jokes . 	 1 	 1
-1 	 the tenderness of the piece is still intact . 	 the tenderness of the piece is still intact . 	 1 	 1
-1 	 these people would n't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance . 	 these people would n't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance . 	 0 	 0
1 	 a graceless , witless attempt at mating some like it hot with the wwii espionage thriller . 	 Gracelessness and witlessness being with thee, some as it were hot with the wwii espionage thriller. 	 0 	 1
1 	 the impact of the armenian genocide is diluted by too much stage business in the modern day . 	 The ravages of the armenian massacre are diminished by too much business in the days of the present world. 	 0 	 1
-1 	 while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire . 	 while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire . 	 1 	 1
1 	 visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last . 	 The visits of the spy are like the book of a novel thou canst not put down, scrutinizing a footnote to a long forgotten time, and keeping thee in the guessings of the first frame to the last. 	 1 	 0
1 	 it suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like hatfield and hicks . 	 It is implied in the broad array of this corrupting effect of the media, from the kind of reporting that is done by the supposedly liberal press, to the intimate and ultimately maverick heartache of maverick individuals like hatfield and h 	 1 	 0
1 	 this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics . 	 Hollow, uninteresting, and very brutish in their manners, this warm and gentle romantic comedy hath sufficient instructive persons to fill several movies, and to make a full 	 1 	 0
-1 	 half of it is composed of snappy patter and pseudo-sophisticated cultural observations , while the remainder ... would be more at home on a daytime television serial . 	 half of it is composed of snappy patter and pseudo-sophisticated cultural observations , while the remainder ... would be more at home on a daytime television serial . 	 0 	 0
1 	 though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter . 	 Howard and his companions are gathered together in a battle, and are smitten before their adversaries: how they are taken in a snare, and howled for their enemies' sake: how their king is taken in a vision, and how he 	 0 	 1
1 	 a tough go , but leigh 's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film 's often-mined and despairing milieu . 	 But leigh for the depth and rigour of his doctrine, and his skill at exhorting accomplished portrayals that are all the more excellent for their lack of shewiness and for their subtilty, offsets to a notable degree the work of certain 	 1 	 0
1 	 at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin . 	 A blind man directeth a film unto a man that is blind: but as the time goeth on, the thing which he directeth wearieth the man 	 0 	 1
-1 	 a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable . 	 a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable . 	 1 	 1
-1 	 denis and co-writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing . 	 denis and co-writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing . 	 1 	 1
1 	 expect to be reminded of other , better films , especially seven , which director william malone slavishly copies . 	 And the king said unto me, Expect to see other better films, of which I have written to thee, namely, seven, which shall be made 	 0 	 1
1 	 lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new . 	 Lathan and diggers have certain chariots and strong holds of persons of honourable family, and their screen rapport make the old 	 1 	 0
1 	 the reason this picture works better than its predecessors is that myers is no longer simply spoofing the mini-mod-madness of '60s spy movies . 	 Because that myers is no more parodying the miniatures of the spy-movie of the 1960s, and because the source of the fakes is dried up, this image shall 	 1 	 0
1 	 an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point . 	 A film which drops the ball only when it pauses for blunt exposition to make sure that it have her metaphysical point. 	 1 	 0
1 	 majidi 's poetic love story is a ravishing consciousness-raiser , if a bit draggy at times . 	 Majidi by her love stories is a ravishing consciousness raiser; if a touch of dragginess be added to it at times, it 	 1 	 0
1 	 westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing . 	 Which exalteth the baser things of man, and maketh the most high things of God to be sordid and filthy: west 	 1 	 0
-1 	 quite funny for the type of movie it is ... 	 quite funny for the type of movie it is ... 	 1 	 1
-1 	 run , do n't walk , to see this barbed and bracing comedy on the big screen . 	 run , do n't walk , to see this barbed and bracing comedy on the big screen . 	 1 	 1
1 	 matthew mcconaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy . 	 And the same day, in the sixth month, in the fifth day of the month, was the beginning of the work of Mattmcconaughey, who strove with the 	 0 	 1
-1 	 a predictable and stereotypical little b-movie . 	 a predictable and stereotypical little b-movie . 	 0 	 0
1 	 i 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s . 	 This I say, not that I am persuaded that thou indeed seest it, except thou be the kind of person, which hath seen every wimwender film of the years that followed the 	 0 	 1
-1 	 dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter . 	 dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter . 	 0 	 0
-1 	 when it 's all wet , blue crush is highly enjoyable . 	 when it 's all wet , blue crush is highly enjoyable . 	 1 	 1
-1 	 a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race . 	 a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race . 	 1 	 1
1 	 usually when i get this much syrup , i like pancakes to go with it . 	 And when it is gotten, then it is time for me to eat: and my soul shall delight itself 	 0 	 1
1 	 mr. wedge and mr. saldanha handle the mix of verbal jokes and slapstick well . 	 So handle a mr. wedge and mr. saldanha with the mixt verbal jests, and the mr 	 1 	 0
1 	 longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days . 	 Longley, having faithfully and faithfully executed his errand, hath built a remarkably coherence, revoltingly 	 1 	 0
-1 	 a slick , well-oiled machine , exquisitely polished and upholstered . 	 a slick , well-oiled machine , exquisitely polished and upholstered . 	 1 	 1
1 	 the result is mesmerizing -- filled with menace and squalor . 	 Aresulting is maddeningness, and a sore affliction. 	 1 	 0
-1 	 do n't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life . 	 do n't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life . 	 1 	 1
-1 	 a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history . 	 a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history . 	 1 	 1
1 	 too timid to bring a sense of closure to an ugly chapter of the twentieth century . 	 For too timidly have they brought in a sense of closure to an ugly chapter of the twentieth century. 	 0 	 1
1 	 plays less like a coming-of-age romance than an infomercial . 	 Lest, when ye see the world pass, ye think it to be comely days: for plays 	 0 	 1
1 	 all that -lrb- powerpuff girls -rrb- charm is present in the movie , but it 's spread too thin . 	 All that are formed from the ground, and all that are in the earth, with all that move upon the earth, with all that are in the sea, and 	 0 	 1
-1 	 jirí hubac 's script is a gem . 	 jirí hubac 's script is a gem . 	 1 	 1
1 	 as -lrb- the characters -rrb- get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound . 	 As the characters of -lrb are gotten more depressed, so are the stories get more wearisome, especially as it proceedeth to mount a conspicuous work to be profound in many things. 	 0 	 1
1 	 feels like six different movies fighting each other for attention . 	 A feeling is given to the flesh, like the six diversities of a movie fighting 	 0 	 1
-1 	 this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment . 	 this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment . 	 1 	 1
-1 	 often gruelling and heartbreaking to witness , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie . 	 often gruelling and heartbreaking to witness , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie . 	 1 	 1
-1 	 a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original . 	 a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original . 	 0 	 0
-1 	 cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent 's days 	 cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent 's days 	 1 	 1
1 	 friday after next has the same problem that next friday did -- it 's called where 's chris tucker when you need him ? 	 Now the same thing happened to chris tucker in the days that followed after next, that it was called where chris tucker is when ye need him? 	 0 	 1
1 	 extremely confusing . 	 extremely perplexed. 	 0 	 1
-1 	 well-intentioned though it may be , its soap-opera morality tales have the antiseptic , preprogrammed feel of an after-school special . 	 well-intentioned though it may be , its soap-opera morality tales have the antiseptic , preprogrammed feel of an after-school special . 	 0 	 0
1 	 like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness . 	 Like most sequels it taketh that which was right in the beginning, repetiteth and addeth new characters to the cast, more stunts than were in the first and last 	 0 	 1
1 	 this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation . 	 Which is the same as that which is in the flocks in the time of the tropics, which flocks have an actual tension in their flocks, as the tree flocks in a spray can 	 0 	 1
1 	 helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge . 	 Helmer devito per medietas attentas dolemas doorebat, and payola per vita dulcis, and vices per Medietas 	 0 	 1
1 	 4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it 's the ultimate redneck road-trip . 	 And fourscore friends, and two couple of lovers, from among the pabst blue ribbon beer which they can drink; it is the ultimate redneck road-trip to seek out a 	 1 	 0
-1 	 after that , it just gets stupid and maudlin . 	 after that , it just gets stupid and maudlin . 	 0 	 0
1 	 unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit . 	 Hast thou not rather seen how excellent a thing it is to have two eyes to see with, and one to hear with, and one to speak with, unemotionally and with gentleness; and likewise heartbreak hospital 	 0 	 1
1 	 by the end of no such thing the audience , like beatrice , has a watchful affection for the monster . 	 At the end of that time the audience, like beatrice, hath her watchings for the abominable beast. 	 1 	 0
1 	 a baffling misfire , and possibly the weakest movie -lrb- woody allen -rrb- has made in the last twenty years . 	 A baffling misfire is come upon them, and might have been their weakest movie, and woody allen may be found in their hands. 	 0 	 1
1 	 the production values are up there . 	 And the residue of the production was found there. 	 1 	 0
1 	 rates an ` e ' for effort -- and a ` b ' for boring . 	 rates an ` e'for labouring to the utmost of his power; and a ` b'for 	 0 	 1
-1 	 the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain . 	 the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain . 	 1 	 1
1 	 a modest and messy metaphysical thriller offering more questions than answers . 	 A modest and messianic metaphysical thriller offering more questions than answers. 	 0 	 1
-1 	 it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 	 it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 	 1 	 1
-1 	 smith 's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes . 	 smith 's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes . 	 1 	 1
-1 	 a shambles of a movie -- visually unattractive , unbearably loud and utterly silly ... its hilarity is completely unintentional . 	 a shambles of a movie -- visually unattractive , unbearably loud and utterly silly ... its hilarity is completely unintentional . 	 0 	 0
1 	 its direction , its script , and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for . 	 Let it be so with their direction, and their scribe's hand, and weaver's labour, as make for a vaguely discontented woman of substance make for a moderately lewdness in the time of the feast of unleaven 	 1 	 0
1 	 `` collateral damage '' goes by the numbers and reps decent action entertainment -- until the silly showdown ending that forces the viewer to totally suspend disbelief 	 Collateral damage, as it were, by the number and repute of the just, by the number and repute of the wicked, by the number and 	 0 	 1
1 	 still , this thing feels flimsy and ephemeral . 	 Yet still this also feeleth flimsiness and ephemeralness. 	 0 	 1
-1 	 a blessed gift to film geeks and historians . 	 a blessed gift to film geeks and historians . 	 1 	 1
1 	 what jackson has accomplished here is amazing on a technical level . 	 What manner of things is this that hath been done by the son of man here! 	 1 	 0
1 	 it should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit . 	 That it should be mentioned that the set designs and interiors of the haunted vessel are more than effectually creepily and moodily lit. 	 1 	 0
-1 	 there 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances . 	 there 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances . 	 1 	 1
1 	 whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something . 	 Whether it be by the moving and loving of it, or by the bored and bored of it, ye shall yet feel this thing. 	 1 	 0
-1 	 a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino . 	 a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino . 	 1 	 1
-1 	 an absorbing , slice-of-depression life that touches nerves and rings true . 	 an absorbing , slice-of-depression life that touches nerves and rings true . 	 1 	 1
1 	 moderately involving despite bargain-basement photography and hackneyed romance . 	 Moderately entangling despite bargain basements and hackneyed romances. 	 0 	 1
-1 	 this is a film well worth seeing , talking and singing heads and all . 	 this is a film well worth seeing , talking and singing heads and all . 	 1 	 1
1 	 the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset . 	 And the plot is so provably and so sentimental that it is hardly possible that any should not be offended before sandrine and her goats, walking through the 	 0 	 1
1 	 ... there are enough moments of heartbreaking honesty to keep one glued to the screen . 	 There are iniquities and blemishes enough to keep one at a watch. 	 1 	 0
-1 	 i loved it ! 	 i loved it ! 	 1 	 1
-1 	 brilliant ! ' 	 brilliant ! ' 	 1 	 1
-1 	 some studio pizazz might have helped . 	 some studio pizazz might have helped . 	 0 	 0
-1 	 a grim , flat and boring werewolf movie that refuses to develop an energy level . 	 a grim , flat and boring werewolf movie that refuses to develop an energy level . 	 0 	 0
-1 	 a hideous , confusing spectacle , one that may well put the nail in the coffin of any future rice adaptations . 	 a hideous , confusing spectacle , one that may well put the nail in the coffin of any future rice adaptations . 	 0 	 0
1 	 as tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne tv sets or nude groupies on the nod to liven things up . 	 And ye yearn for few airborne tv sets or for naught, for naked lasciviousness on the nod to liven things up among you. 	 0 	 1
-1 	 cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing . 	 cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing . 	 1 	 1
-1 	 cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone . 	 cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone . 	 1 	 1
1 	 what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment . 	 What full frontal lacketh in thematic coherence it oftentimes makeeth up for in loosey-goosey experimental entertainment, 	 1 	 0
-1 	 mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 	 mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 	 0 	 0
1 	 maguire is a surprisingly effective peter\/spider-man . 	 Manuire is a porter for muggles, and a spiderman to spittle his 	 1 	 0
1 	 windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live . 	 Winding talkers is shapen with shittim wood, the kind of movie that entreateth thee to pick apart the faults thereof even as thou art required to confess that some thing smote thee where 	 1 	 0
-1 	 for its seriousness , high literary aspirations and stunning acting , the film can only be applauded . 	 for its seriousness , high literary aspirations and stunning acting , the film can only be applauded . 	 1 	 1
1 	 so clichéd that , at one point , they literally upset an apple cart . 	 And thus was it done unto them, at one time in parading through the apple orchard. 	 0 	 1
-1 	 a byzantine melodrama that stimulates the higher brain functions as well as the libido . 	 a byzantine melodrama that stimulates the higher brain functions as well as the libido . 	 1 	 1
